Razão.Social,Resultado.Bruto.1,Resultado.Bruto.2
524 PARTICIPACOES S.A.,0,0
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,5,33
AES TIETE ENERGIA SA,538.529,523.996
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,17.872,21.708
ALEF S.A.,0,0
ALFA HOLDINGS S.A.,227,218
ALGAR TELECOM S/A,875.562,849.152
ALIANSCE SONAE SHOPPING CENTERS S.A.,4.744.122,10.177.757
ALPARGATAS S.A.,3.980.105,4.361.534
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,137.607,163.739
ALTERE SECURITIZADORA S.A.,142,70
ALUPAR INVESTIMENTO S/A,1.084.641,1.849.223
AMBEV S.A.,21.009.449,21.444.177
AMPLA ENERGIA E SERVICOS S.A.,673.872,703.457
ANIMA HOLDING S.A.,1.446.470,2.160.950
AREZZO INDÚSTRIA E COMÉRCIO S.A.,1.045.032,1.391.641
ATACADÃO S.A.,7.991.000,8.944.000
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,3.755,4.858
AZEVEDO E TRAVASSOS S.A.,-54.857,-42.164
AZUL S.A.,1.559.063,2.148.174
B2W - COMPANHIA DIGITAL,13.031.194,16.726.818
B3 S.A. - BRASIL. BOLSA. BALCÃO,3.518.380,4.329.092
BAHEMA EDUCAÇÃO S.A.,11.807,13.049
BANCO BMG S.A.,1.062.457,1.533.861
BANCO INTER S.A.,248.238,318.439
BANESTES S.A. - BCO EST ESPIRITO SANTO,543.967,532.388
BARDELLA S.A. INDUSTRIAS MECANICAS,-20.873,-9.925
BATTISTELLA ADM PARTICIPACOES S.A.,36.649,52.292
BAUMER S.A.,48.874,59.595
BB SEGURIDADE PARTICIPAÇÕES S.A.,13.680.123,14.994.161
BBM LOGISTICA S.A.,51.34,43.612
BCO ABC BRASIL S.A.,284.954,503.266
BCO ALFA DE INVESTIMENTO S.A.,22.984,61.659
BCO AMAZONIA S.A.,290.341,293.298
BCO BRADESCO S.A.,7.375.162,21.029.845
BCO BRASIL S.A.,1.479.136.713,1.568.535.637
BCO BTG PACTUAL S.A.,(2.102.594),1.692.018
BCO ESTADO DE SERGIPE S.A. - BANESE,273.437,303.902
BCO ESTADO DO PARA S.A.,915.312,956.26
BCO ESTADO DO RIO GRANDE DO SUL S.A.,3.242.943,3.162.085
BCO INDUSVAL S.A.,2.491.786,2.356.297
BCO MERCANTIL DE INVESTIMENTOS S.A.,8.047,7.487
BCO MERCANTIL DO BRASIL S.A.,785.563,948.406
BCO NORDESTE DO BRASIL S.A.,1.097.253,1.878.840
BCO PAN S.A.,27.638.802,31.967.388
BCO PINE S.A.,9.362.156,10.141.551
BCO SANTANDER (BRASIL) S.A.,723.865.007,753.262.492
BETA SECURITIZADORA S.A.,16,21
BETAPART PARTICIPACOES S.A.,0,0
BICICLETAS MONARK S.A.,3.008,3.012
BIOMM S.A.,77,522
BIOSEV S.A.,8.842.169,10.896.327
BIOTOSCANA INVESTMENTS S.A.,304.126.840,257.410.616
BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,1.011.424,1.285.794
BNDES PARTICIPACOES S.A. - BNDESPAR,1.420.378,6.672.944
BOMBRIL S.A.,325.35,359.645
BR MALLS PARTICIPACOES S.A.,18.131.036,18.015.302
BR PROPERTIES S.A.,10.637.147,9.284.368
BRADESCO LEASING S.A. ARREND MERCANTIL,237.105,206.673
BRADESPAR S.A.,0,0
BRASIL BROKERS PARTICIPACOES S.A.,347.192,432.325
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,1.357.614,1.473.756
BRASKEM S.A.,59.193.982,65.463.789
BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,0,45.409
BRAZILIAN FINANCE E REAL ESTATE S.A.,0,0
BRAZILIAN SECURITIES CIA SECURITIZACAO,247,247
BRB BCO DE BRASILIA S.A.,1.115.003,1.178.937
BRC SECURITIZADORA S.A.,728.694,827.113
BRF S.A.,42.382.377,43.351.458
BRPR 56 SECURITIZADORA CRED IMOB S.A.,23.483,10.455
BRQ SOLUCOES EM INFORMATICA S.A.,71.079,91.772
BV LEASING - ARRENDAMENTO MERCANTIL S.A.,43.776,35.371
CABINDA PARTICIPACOES S.A.,0,0
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.,31.861,24.504
CACONDE PARTICIPACOES S.A.,0,0
CAMBUCI S.A.,77.428,73.776
CAMIL ALIMENTOS S.A.,579.418,570.468
CAPITALPART PARTICIPACOES S.A.,0,0
CCR S.A.,30.815.998,31.327.843
CCX CARVÃO DA COLÔMBIA S.A.,14.582,10.669
CEA MODAS S.A.,1.678.101,1.708.803
CELULOSE IRANI S.A.,208.297,202.854
CEMEPE INVESTIMENTOS S.A.,0,0
CEMIG DISTRIBUICAO S.A.,1.535.561,2.071.185
CEMIG GERACAO E TRANSMISSAO S.A.,1.629.513,2.081.735
CENTRAIS ELET BRAS S.A. - ELETROBRAS,181.210.208,177.207.066
CENTRAIS ELET DE SANTA CATARINA S.A.,659.012,764.664
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,2.209.426,2.469.869
CESP - CIA ENERGETICA DE SAO PAULO,10.326.500,11.649.440
CIA BRASILEIRA DE DISTRIBUICAO,60.374.000,42.248.000
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,448.815,449.206
CIA CELG DE PARTICIPACOES - CELGPAR,77.524,82.831
CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,770.346,794.544
CIA ELETRICIDADE EST. DA BAHIA - COELBA,1.220.644,1.726.484
CIA ENERGETICA DE BRASILIA,270.744,372.163
CIA ENERGETICA DE MINAS GERAIS - CEMIG,59.854.673,50.062.672
CIA ENERGETICA DE PERNAMBUCO - CELPE,613.478,746.362
CIA ENERGETICA DO CEARA - COELCE,469.301,483.359
CIA ENERGETICA DO RIO GDE NORTE - COSERN,427.559,417.382
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,4.173.235,3.749.733
CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,5.098.548,5.243.364
CIA FERRO LIGAS DA BAHIA - FERBASA,2.659.910,2.805.564
CIA FIACAO TECIDOS CEDRO CACHOEIRA,709.517,756.471
CIA GAS DE SAO PAULO - COMGAS,1.464.576,2.268.392
CIA HABITASUL DE PARTICIPACOES,12.101,-21.509
CIA HERING,1.704.129,1.843.440
CIA INDUSTRIAL CATAGUASES,19.589,19.35
CIA LOCAÇÃO DAS AMÉRICAS,8.744.518,9.309.027
CIA MELHORAMENTOS DE SAO PAULO,42.959,35.751
CIA PARANAENSE DE ENERGIA - COPEL,35.930.100,36.725.194
CIA PARTICIPACOES ALIANCA DA BAHIA,91.738,100.023
CIA PAULISTA DE FORCA E LUZ,1.226.804,1.432.763
CIA PIRATININGA DE FORCA E LUZ,457.007,567.309
CIA SANEAMENTO BASICO EST SAO PAULO,43.565.118,45.838.049
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,11.178.403,11.457.678
CIA SANEAMENTO DO PARANA - SANEPAR,1.826.953,2.025.509
CIA SEGUROS ALIANCA DA BAHIA,10.451,4.41
CIA SIDERURGICA NACIONAL,4.810.752,6.078.480
CIA TECIDOS NORTE DE MINAS COTEMINAS,417.2,393.177
CIA TECIDOS SANTANENSE,80.517,74.949
CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,9.43,8.947
CIELO S.A.,81.757.466,89.874.681
CIMS S.A.,0,0
CINESYSTEM S.A.,165.621,212.527
COGNA EDUCAÇÃO S.A.,31.949.129,32.712.819
CONC AUTO RAPOSO TAVARES S.A.,77.278,113.726
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,500.142,433.943
CONC ECOVIAS IMIGRANTES S.A.,476.193,458.62
CONC RIO-TERESOPOLIS S.A.,91.058,99.316
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,109.72,93.584
CONC ROD.OESTE SP VIAOESTE S.A,432.333,427.278
CONC RODOVIAS DO TIETÊ S.A.,41.631,32.516
CONC ROTA DAS BANDEIRAS S.A.,246.502,277.092
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,1.038.346,1.067.533
CONSERVAS ODERICH S.A.,79.466,73.219
CONSORCIO ALFA DE ADMINISTRACAO S.A.,-45.055,-47.331
CONSTRUTORA ADOLPHO LINDENBERG S.A.,-229,-1.236
CONSTRUTORA TENDA S.A.,422.514,474.997
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,1.14,1.552
COSAN LOGISTICA S.A.,27.142.181,31.727.060
COSAN S.A.,28.789.760,31.065.176
CPFL ENERGIA S.A.,4.287.368,4.747.135
CPFL ENERGIAS RENOVÁVEIS S.A.,12.175.856,11.833.616
CPFL GERACAO DE ENERGIA S.A.,1.311.596,1.232.172
CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,187.281,180.937
CSU CARDSYSTEM S.A.,393.438,491.019
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,39.662,61.598
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,18.542.224,20.014.346
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,6.169.199,6.931.808
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,9.829.268,9.971.372
